λ npm run train

> source-code-translation-lstm-antlr@1.0.0 train D:\kuliah\source-code-translation-lstm-antlr
> node dist/train.js

data =  71
iterations: 0, training error: 0.7375142888442775
iterations: 12400, training error: 0.01318884238923227
iterations: 12500, training error: 0.012781889070545007
iterations: 12600, training error: 0.012620383767011667
iterations: 12700, training error: 0.013503290865558706
iterations: 12800, training error: 0.012902444370871501
iterations: 12900, training error: 0.012803158712064519
iterations: 13000, training error: 0.016775717897389117
iterations: 13100, training error: 0.024053833249805336
iterations: 13200, training error: 0.013335215078597792
iterations: 13300, training error: 0.2868361518791449
iterations: 13400, training error: 0.012954097700228717
iterations: 13500, training error: 0.012738597905314659
iterations: 13600, training error: 0.15379214349296605
iterations: 13700, training error: 0.02592067925272021
iterations: 13800, training error: 0.020451580038689826
iterations: 13900, training error: 7.682394065386068
iterations: 14000, training error: 0.014723655043874073
iterations: 14100, training error: 0.014791603433259913
iterations: 14200, training error: 0.013069504487939585
iterations: 14300, training error: 0.016661136069508586
iterations: 14400, training error: 107.49121635393128
iterations: 14500, training error: 0.014247981235227882
iterations: 14600, training error: 0.01733122132154392
iterations: 14700, training error: 625.5436626862996
iterations: 14800, training error: 0.017852403906952613
iterations: 14900, training error: 0.02170193432826828
iterations: 15000, training error: 0.012900127480500739
iterations: 15100, training error: 0.013804373146212903
iterations: 15200, training error: 0.03191794521889146
iterations: 15300, training error: 0.024655147258857188
iterations: 15400, training error: 0.017799198991339794
iterations: 15500, training error: 0.013267590172208486
iterations: 15600, training error: 0.013695630714651574
iterations: 15700, training error: 0.012879678262139467
iterations: 15800, training error: 0.012757078718933603
iterations: 15900, training error: 0.013219588479770918
iterations: 16000, training error: 0.012743789079696786
iterations: 16100, training error: 0.10127455524313927
iterations: 16200, training error: 0.013695781341595598
iterations: 16300, training error: 0.017109184402775614
iterations: 16400, training error: 0.01444876067182769
iterations: 16500, training error: 0.01326581031999498
iterations: 16600, training error: 0.01283945925913933
iterations: 16700, training error: 0.013137179079917214
iterations: 16800, training error: 0.013621764456714635
iterations: 16900, training error: 0.013002966816308692
iterations: 17000, training error: 0.012897697142425946
iterations: 17100, training error: 0.01379617708315706
iterations: 17200, training error: 0.12596944296279797
iterations: 17300, training error: 0.013818034521827262
iterations: 17400, training error: 0.013224891430937549
iterations: 17500, training error: 0.015530660489891062
iterations: 17600, training error: 0.015673541374955195
iterations: 17700, training error: 0.07796852954035836
iterations: 17800, training error: 0.040758875435948784
iterations: 17900, training error: 0.01362063018715873
iterations: 18000, training error: 0.013146615329703834
iterations: 18100, training error: 0.013793711679146522
iterations: 18200, training error: 0.02943926689820142
iterations: 18300, training error: 0.014191565590927673
iterations: 18400, training error: 0.01435005163357307
iterations: 18500, training error: 0.012983965842097222
iterations: 18600, training error: 0.01312962893602824
iterations: 18700, training error: 0.013092690991827836
iterations: 18800, training error: 0.013250835289893353
iterations: 18900, training error: 0.01291512506606379
iterations: 19000, training error: 0.02396034519854606
iterations: 19100, training error: 0.014227653416593131
iterations: 19200, training error: 0.0566546554070284
iterations: 19300, training error: 0.0150638605241654
iterations: 19400, training error: 0.013520817072610762
iterations: 19500, training error: 0.01293674295222248
iterations: 19600, training error: 0.013585588270587264
iterations: 19700, training error: 0.016887924846846338
iterations: 19800, training error: 0.03127778101307582
iterations: 19900, training error: 0.013301366132202317
train: 16895932.800ms

D:\kuliah\source-code-translation-lstm-antlr  (source-code-translation-lstm-antlr@1.0.0)
λ
